DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200809224,05/08/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1200,8,West LA,836,2,354,THEFT OF IDENTITY,0100 1202,83,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1900    THAYER                       AV,,34.0541,-118.4255
211101077,11/19/2021 12:00:00 AM,11/17/2021 12:00:00 AM,1500,11,Northeast,1109,1,310,BURGLARY,1402 1419 1608 0344 0314,86,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,998.0,,,5400    KINCHELOE                    DR,,34.1463,-118.2006
241807547,03/15/2024 12:00:00 AM,03/15/2024 12:00:00 AM,1600,18,Southeast,1806,2,624,BATTERY - SIMPLE ASSAULT,0913 1300 2024 1259 0416 1251,15,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8800    AVALON                       BL,,33.9541,-118.2651
230412186,09/07/2023 12:00:00 AM,06/01/2023 12:00:00 AM,1,4,Hollenbeck,422,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,24,F,H,124.0,BUS STOP,,,IC,Invest Cont,440.0,,,,2600 N  BROADWAY,,34.0736,-118.2156
230805923,02/16/2023 12:00:00 AM,02/15/2023 12:00:00 AM,1420,8,West LA,884,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,0400 0344 1300 1309 1822,55,F,W,101.0,STREET,,,IC,Invest Cont,421.0,,,,2200    CAMDEN                       AV,,34.0412,-118.4362
211015063,11/28/2021 12:00:00 AM,11/28/2021 12:00:00 AM,1430,10,West Valley,1079,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1202,84,F,O,404.0,DEPARTMENT STORE,,,IC,Invest Cont,440.0,,,,15900    VENTURA                      BL,,34.1599,-118.4766
221706839,03/21/2022 12:00:00 AM,03/18/2022 12:00:00 AM,1615,17,Devonshire,1757,2,662,"BUNCO, GRAND THEFT",1251 0701,28,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,9900    ODESSA                       AV,,34.2512,-118.4921
221115674,10/30/2022 12:00:00 AM,10/29/2022 12:00:00 AM,600,11,Northeast,1137,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,300 N  AVENUE 51,,34.1078,-118.2024
200514083,09/13/2020 12:00:00 AM,09/12/2020 12:00:00 AM,2200,5,Harbor,501,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1300 W  186TH                        ST,,33.862,-118.2982
201221450,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1700,12,77th Street,1218,1,210,ROBBERY,0342 1822 0448 0429 0344 1309 0432,22,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,5700 S  VERMONT                      AV,,33.9899,-118.2915
211416418,08/11/2021 12:00:00 AM,08/11/2021 12:00:00 AM,200,14,Pacific,1496,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,6100 W  CENTURY                      BL,,33.9456,-118.3904
220606848,02/23/2022 12:00:00 AM,02/22/2022 12:00:00 AM,2100,6,Hollywood,646,1,330,BURGLARY FROM VEHICLE,0344 1822 1501 1300 1307 0329 1609,25,M,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,HOLLYWOOD                    BL,WILCOX                       AV,34.1016,-118.331
231225717,12/27/2023 12:00:00 AM,12/27/2023 12:00:00 AM,30,12,77th Street,1269,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1813 0408 0400 0416,41,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,600 E  84TH                         ST,,33.9629,-118.2651
220908503,04/27/2022 12:00:00 AM,03/01/2022 12:00:00 AM,1200,9,Van Nuys,926,2,354,THEFT OF IDENTITY,1822 0924,42,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,14400    KITTRIDGE                    ST,,34.1907,-118.4465
201908105,03/26/2020 12:00:00 AM,03/25/2020 12:00:00 AM,2200,19,Mission,1959,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,10000    BARTEE                       AV,,34.2522,-118.4339
220409253,05/31/2022 12:00:00 AM,05/31/2022 12:00:00 AM,1450,4,Hollenbeck,408,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,57,M,H,102.0,SIDEWALK,,,IC,Invest Cont,341.0,,,,4900 E  HUNTINGTON                   DR,,34.0887,-118.1785
221415059,07/21/2022 12:00:00 AM,07/21/2022 12:00:00 AM,810,14,Pacific,1488,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,30,M,B,101.0,STREET,,,IC,Invest Cont,740.0,,,,RAMSGATE,INTERCEPTOR,33.9553,-118.3827
201409268,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,600,14,Pacific,1479,1,310,BURGLARY,1606 0344,54,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,5200    THORNBURN                    ST,,33.9686,-118.3702
230917907,12/27/2023 12:00:00 AM,12/26/2023 12:00:00 AM,2030,9,Van Nuys,935,2,625,OTHER ASSAULT,0356 1402,0,F,H,753.0,DETENTION/JAIL FACILITY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,625.0,998.0,,,6200    SYLMAR                       AV,,34.1837,-118.4465
241004471,01/13/2024 12:00:00 AM,01/13/2024 12:00:00 AM,420,10,West Valley,1078,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1609,0,M,O,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,745.0,,,,16700    VENTURA                      BL,,34.1613,-118.4917
231309854,04/28/2023 12:00:00 AM,04/28/2023 12:00:00 AM,1000,13,Newton,1333,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325,0,M,W,405.0,CLOTHING STORE,,,IC,Invest Cont,440.0,,,,3200 S  CENTRAL                      AV,,34.0174,-118.2621
202014288,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,2130,20,Olympic,2069,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1100 S  WESTMORELAND                 AV,,34.0476,-118.2891
230111484,04/27/2023 12:00:00 AM,04/26/2023 12:00:00 AM,1630,1,Central,164,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1300,56,M,B,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,600 S  MAIN                         ST,,34.0453,-118.2499
211310804,05/26/2021 12:00:00 AM,05/26/2021 12:00:00 AM,535,13,Newton,1313,1,320,"BURGLARY, ATTEMPTED",0329,0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,320.0,,,,1700    GRIFFITH                     AV,,34.027,-118.2525
200116219,08/11/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1417,1,Central,162,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1414,0,X,X,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740.0,,,,800 S  FLOWER                       ST,,34.0468,-118.2605
220414162,10/11/2022 12:00:00 AM,10/11/2022 12:00:00 AM,900,4,Hollenbeck,463,2,813,CHILD ANNOYING (17YRS & UNDER),1251 1259 1309 1822,16,F,H,102.0,SIDEWALK,,,IC,Invest Cont,813.0,,,,ST LOUIS,4TH                          ST,34.0423,-118.2154
231808293,03/29/2023 12:00:00 AM,03/27/2023 12:00:00 AM,1900,18,Southeast,1801,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,91ST                         ST,FIGUEROA                     ST,33.9542,-118.2827
201821780,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,2010,18,Southeast,1822,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0448 0444 0429 2021,56,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,9400 S  SPRING                       ST,,33.9492,-118.2766
221610376,07/05/2022 12:00:00 AM,06/25/2022 12:00:00 AM,1200,16,Foothill,1623,2,666,"BUNCO, ATTEMPT",0701,36,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,666.0,,,,10900    HERRICK                      AV,,34.2683,-118.4118
231014754,10/15/2023 12:00:00 AM,10/15/2023 12:00:00 AM,1048,10,West Valley,1023,2,900,VIOLATION OF COURT ORDER,2038 0913 0360 2004,67,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,19000    ARCHWOOD                     ST,,34.1921,-118.547
200608387,03/27/2020 12:00:00 AM,03/26/2020 12:00:00 AM,2015,6,Hollywood,669,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,62,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,5200    FOUNTAIN                     AV,,34.0952,-118.3025
230307586,03/11/2023 12:00:00 AM,03/11/2023 12:00:00 AM,1,3,Southwest,328,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,19,M,W,742.0,"SPORTS VENUE, OTHER",,,IC,Invest Cont,440.0,,,,600 W  JEFFERSON                    BL,,34.0225,-118.2812
221015842,10/29/2022 12:00:00 AM,10/29/2022 12:00:00 AM,1645,10,West Valley,1044,2,624,BATTERY - SIMPLE ASSAULT,0913 0444 0361 0603 0400 0416,47,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,18300    BURBANK                      BL,,34.1765,-118.5333
200409117,05/22/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2330,4,Hollenbeck,416,1,761,BRANDISH WEAPON,0334 0913 1813 2000,25,F,H,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AO,Adult Other,761.0,,,,3200    SIERRA                       ST,,34.0812,-118.2032
221014872,10/05/2022 12:00:00 AM,10/05/2022 12:00:00 AM,2155,10,West Valley,1008,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0302 0444,17,F,H,101.0,STREET,207.0,OTHER KNIFE,AO,Adult Other,230.0,,,,6600    HAYVENHURST                  AV,,34.1903,-118.4924
230906748,03/10/2023 12:00:00 AM,03/09/2023 12:00:00 AM,1600,9,Van Nuys,989,1,310,BURGLARY,0344 0397,65,M,H,118.0,CONSTRUCTION SITE,,,IC,Invest Cont,310.0,,,,4400    MATILIJA                     AV,,34.1504,-118.4341
210117467,09/24/2021 12:00:00 AM,09/24/2021 12:00:00 AM,1800,1,Central,144,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 1803 1414,46,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,400 S  MAIN                         ST,,34.0478,-118.2484
241408482,04/05/2024 12:00:00 AM,04/05/2024 12:00:00 AM,1300,14,Pacific,1467,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,M,O,145.0,MAIL BOX,,,IC,Invest Cont,440.0,,,,5900 W  CENTER                       DR,,33.9752,-118.3874
200514437,09/22/2020 12:00:00 AM,09/21/2020 12:00:00 AM,1900,5,Harbor,504,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,1300 W  190TH                        ST,,33.8583,-118.2994
211913375,09/16/2021 12:00:00 AM,08/12/2021 12:00:00 AM,1705,19,Mission,1915,2,354,THEFT OF IDENTITY,0930 0928 0929,42,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,14300    SAYRE                        ST,,34.3002,-118.445
230315930,08/28/2023 12:00:00 AM,08/28/2023 12:00:00 AM,1730,3,Southwest,329,2,624,BATTERY - SIMPLE ASSAULT,1822 0305 0400,19,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,FLOWER                       ST,JEFFERSON                    BL,34.0214,-118.2787
231220697,10/02/2023 12:00:00 AM,10/02/2023 12:00:00 AM,52,12,77th Street,1266,2,354,THEFT OF IDENTITY,0100 1822,32,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,900 W  81ST                         ST,,33.9655,-118.2897
211906241,03/03/2021 12:00:00 AM,03/02/2021 12:00:00 AM,630,19,Mission,1974,1,330,BURGLARY FROM VEHICLE,1601 0344,37,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,VAN NUYS,NORDHOFF,34.2354,-118.4502
201106206,02/19/2020 12:00:00 AM,02/10/2020 12:00:00 AM,1400,11,Northeast,1184,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,64,M,H,102.0,SIDEWALK,,,IC,Invest Cont,745.0,,,,1400    ECHO PARK                    AV,,34.0778,-118.2567
211705463,02/07/2021 12:00:00 AM,02/07/2021 12:00:00 AM,30,17,Devonshire,1723,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0344,72,F,W,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440.0,,,,10800    DE SOTO                      AV,,34.2667,-118.5886
231422037,12/18/2023 12:00:00 AM,12/10/2023 12:00:00 AM,1705,14,Pacific,1441,1,480,BIKE - STOLEN,0344,39,M,W,117.0,BEACH,,,IC,Invest Cont,480.0,,,,26TH,SPEEDWAY,33.9816,-118.4686
222011677,06/27/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1730,20,Olympic,2002,2,624,BATTERY - SIMPLE ASSAULT,0533 0400 0416 0508 1817 1501,18,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,600 N  MANHATTAN                    PL,,34.0816,-118.3102
212106180,03/04/2021 12:00:00 AM,02/26/2021 12:00:00 AM,1010,21,Topanga,2102,1,330,BURGLARY FROM VEHICLE,0344 1607 0329,33,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,8500    FALLBROOK                    AV,,34.2242,-118.6301
230311771,06/03/2023 12:00:00 AM,06/01/2023 12:00:00 AM,400,3,Southwest,361,1,310,BURGLARY,1822 0344 0329 1605 1606 0352 0354,36,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,5000    OBAMA                        BL,,34.0215,-118.3515
221820614,11/14/2022 12:00:00 AM,11/10/2022 12:00:00 AM,1600,18,Southeast,1803,1,310,BURGLARY,1609 1822 0344,0,X,X,721.0,HIGH SCHOOL,,,IC,Invest Cont,310.0,,,,8800 S  SAN PEDRO                    ST,,33.9572,-118.2695
222006396,02/24/2022 12:00:00 AM,02/24/2022 12:00:00 AM,1600,20,Olympic,2027,1,210,ROBBERY,1822 0344 0400 0444,25,F,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,5TH                          ST,VERMONT,34.0654,-118.2917
231910569,06/15/2023 12:00:00 AM,06/15/2023 12:00:00 AM,1700,19,Mission,1966,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,52,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,9100    VAN NUYS                     BL,,34.2386,-118.4464
230122773,10/27/2023 12:00:00 AM,10/27/2023 12:00:00 AM,40,1,Central,157,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0408 0416 0913 1218 1814 2000 2004,29,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,500    STANFORD                     AV,,34.0416,-118.244
212110540,06/25/2021 12:00:00 AM,06/25/2021 12:00:00 AM,330,21,Topanga,2133,2,624,BATTERY - SIMPLE ASSAULT,0416 0400 2004,55,M,B,702.0,OFFICE BUILDING/OFFICE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7300    MEDICAL CENTER               DR,,34.2035,-118.6294
220619762,12/06/2022 12:00:00 AM,12/06/2022 12:00:00 AM,420,6,Hollywood,669,1,320,"BURGLARY, ATTEMPTED",1822 1501 0329,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,320.0,,,,5100    SANTA MONICA                 BL,,34.0929,-118.3048
210305537,02/01/2021 12:00:00 AM,02/01/2021 12:00:00 AM,740,3,Southwest,316,2,625,OTHER ASSAULT,1822 1278,44,M,H,301.0,GAS STATION,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625.0,,,,2200 S  NORMANDIE                    AV,,34.0349,-118.3046
240120036,10/15/2024 12:00:00 AM,10/15/2024 12:00:00 AM,1720,1,Central,159,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,500    MATEO                        ST,,34.0414,-118.2332
240604378,01/09/2024 12:00:00 AM,01/09/2024 12:00:00 AM,742,6,Hollywood,663,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1300 0400 0416 1402 0450,32,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230.0,998.0,,,1100 N  SYCAMORE                     AV,,34.0907,-118.3428
210412110,08/24/2021 12:00:00 AM,08/22/2021 12:00:00 AM,500,4,Hollenbeck,477,1,330,BURGLARY FROM VEHICLE,1300 1302 0344 1307,25,F,H,116.0,OTHER/OUTSIDE,,,IC,Invest Cont,330.0,,,,WHITTIER,MOTT                         ST,34.0332,-118.213
201411638,05/27/2020 12:00:00 AM,05/24/2020 12:00:00 AM,1600,14,Pacific,1443,1,330,BURGLARY FROM VEHICLE,0344 1300,55,F,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,330.0,,,,1100    VAN BUREN                    AV,,33.9928,-118.4513
221504653,01/19/2022 12:00:00 AM,01/18/2022 12:00:00 AM,2317,15,N Hollywood,1562,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4600    COLDWATER CANYON             AV,,34.154,-118.4138
201410004,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,1000,14,Pacific,1454,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 1218,34,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,4500    GLENCOE                      AV,,33.9849,-118.4351
200208369,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,910,2,Rampart,245,2,940,EXTORTION,0422 0337 0100 1916 0316 1822 0443 0344,59,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940.0,,,,2500 W  4TH                          ST,,34.0642,-118.2771
230705630,02/06/2023 12:00:00 AM,01/30/2023 12:00:00 AM,1205,7,Wilshire,782,2,354,THEFT OF IDENTITY,0922,39,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,2200 S  SPAULDING                    AV,,34.0383,-118.3672
201501091,11/24/2020 12:00:00 AM,01/09/2020 12:00:00 AM,1,15,N Hollywood,1599,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0931 1402,0,M,O,301.0,GAS STATION,,,AO,Adult Other,440.0,998.0,,,3700    CAHUENGA                     BL,,34.135,-118.3611
200511973,07/17/2020 12:00:00 AM,07/17/2020 12:00:00 AM,1500,5,Harbor,525,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,81,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,500    GULF                         AV,,33.7751,-118.2725
241207381,02/27/2024 12:00:00 AM,02/25/2024 12:00:00 AM,2230,12,77th Street,1213,1,310,BURGLARY,0344 1822,58,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1800 W  57TH                         ST,,33.991,-118.3089
221413688,07/12/2022 12:00:00 AM,07/12/2022 12:00:00 AM,300,14,Pacific,1406,1,310,BURGLARY,0329 0344,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,3300    MOTOR                        AV,,34.024,-118.409
220406183,03/08/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,4,Hollenbeck,404,1,520,VEHICLE - ATTEMPT STOLEN,1300,32,M,W,157.0,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",,,IC,Invest Cont,520.0,,,,6400    MONTEREY                     RD,,34.1091,-118.1799
230411038,08/04/2023 12:00:00 AM,08/02/2023 12:00:00 AM,2300,4,Hollenbeck,497,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,GRANDE VISTA                 AV,OLYMPIC                      BL,34.0197,-118.2105
210414730,11/09/2021 12:00:00 AM,11/09/2021 12:00:00 AM,1800,4,Hollenbeck,457,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,42,M,H,108.0,PARKING LOT,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,740.0,,,,2800 E  CESAR E CHAVEZ               AV,,34.0469,-118.2032
212017705,12/01/2021 12:00:00 AM,12/01/2021 12:00:00 AM,500,20,Olympic,2054,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 2000 0400 0416,33,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,900 S  KINGSLEY                     DR,,34.0518,-118.3031
221321783,12/02/2022 12:00:00 AM,12/02/2022 12:00:00 AM,750,13,Newton,1331,2,354,THEFT OF IDENTITY,0100,20,F,B,750.0,CYBERSPACE,,,IC,Invest Cont,354.0,,,,2600 S  GRAND                        AV,,34.0265,-118.2723
221313145,06/19/2022 12:00:00 AM,06/19/2022 12:00:00 AM,1,13,Newton,1309,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 1814 0400 0416 1222 1243 2007 0413,31,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,1900    BAY                          ST,,34.0315,-118.2342
